track,artist,album
"Reeds and Seeds, a Plants Vs. Zombies Jazz Album",,
Tormenta De Fuego,,
The Last Song,12 Stones,Potter’s Field
Big Belly,A-F-R-O,
Bhrom,Absentia,Bhrom
Matir Roud,Aftermath,Jed
In the Shadow of Our Pale Companion,Agalloch,The Mantle
You Were But A Ghost In My Arms,Agalloch,The Mantle
Plateau of the Ages,Agalloch,The Serpent & the Sphere
Waiting For You,Akira Yamaoka,Silent Hill 4 OST
Yötön Yö,Alan Wake,Alan Wake 2 OST Official Soundtrack
A Distant Fire,Alda,A Distant Fire
Drawn Astray,Alda,A Distant Fire
First Light,Alda,A Distant Fire
Forlorn Peaks,Alda,A Distant Fire
Loo-Wit,Alda,A Distant Fire
Stonebreaker,Alda,A Distant Fire
Animis,Alda,Passage
Passage,Alda,Passage
The Clearcut,Alda,Passage
The Crooked Trail,Alda,Passage
Weathering,Alda,Passage
Adrift,Alda,Tahoma
In the Wake of an Iron Wind,Alda,Tahoma
Shadow of the Mountain,Alda,Tahoma
Tearing of the Weave,Alda,Tahoma
Wandering Spirit,Alda,Tahoma
Apology,Alesana,Try This With Your Eyes Closed
Stygia,Alissa White-Gluz,Metal: Hellsinger (Original Game Soundtrack)
Azagthoth,Alkaloid,Liquid Anatomy
Six,All That Remains,The Fall of Ideals
This Calling,All That Remains,The Fall of Ideals
A Martian Winter,Angel Vivaldi,
Vision IV: Illumination,Anomalie,Visions
Cry of the Last Mammoth,Antlers,ANTLERS
The Dyatlov Pass Incident,Antlers,Hypothermia
Still I Bleed,Antonamasia,Keeping Nothing
The Garden Of Earthly Delights,Apocalypse Orchestra,The End Is Nigh
Nigh To Her Gloam,Aquilus,Bellum II
In Lands of Ashes,Aquilus,Griseus
We Will Rise,Arch Enemy,Anthems of Rebellion
As the Pages Burn,Arch Enemy,War Eternal
You Will Know My Name,Arch Enemy,War Eternal
The Eagle Flies Alone,Arch Enemy,Will to Power
The World Is Yours,Arch Enemy,Will to Power
Doomsday,Architects,Holy Hell
Hereafter,Architects,Holy Hell
Modern Misery,Architects,Holy Hell
Blackhole,Architects,"The Sky, The Earth & All Between"
A.U.M.,Archspire,Bleed The Future
Drain of Incarnation,Archspire,Bleed The Future
Drone Corpse Aviator,Archspire,Bleed the Future
Calamus Will Animate,Archspire,Relentless Mutation
Human Murmuration,Archspire,Relentless Mutation
Involuntary Doppelgänger,Archspire,Relentless Mutation
The Loss,Ars Onirica,I: Cold
Chile Kothar Shepai,Artcell,Agontuk 2
Bangladesh Smriti O Amra,Artcell,Agontuk 3
Opshori,Artcell,Anushilon
Obhoy,Artcell,Obhoy
Dhushor Shomoy,Artcell,Oniket Prantor
Oniket Prantor,Artcell,Oniket Prantor
Bhul Jonmo,Artcell,Onno Shomoy
Onnosomoy,Artcell,Onno Shomoy
Pothchola,Artcell,Onno Shomoy
Rahur Grash,Artcell,Onno Shomoy
Oshomapto Shantona,Artcell,Otritio
In Dying Days,As Blood Runs Black,Allegiance
My Own Grave,As I Lay Dying,Shaped by Fire
Backburner,August Burns Red,Messengers
Back Burner,August Burns Red,Messengers Remixed
Itihash,Aurthohin,Agontuk 3
Anmone,Aurthohin,Aushomapto 2
Cold Cerecloth,Austere,Beneath the Threshold
Faded Ghost,Austere,Beneath the Threshold
Of Severance,Austere,Beneath the Threshold
The Sunset of Life,Austere,Beneath the Threshold
The Sunset of Life,Austere,Beneath the Threshold
Thrall,Austere,Beneath the Threshold
Words Unspoken,Austere,Beneath the Threshold
Only the Wind Remembers,Austere,Only the Wind Remembers
Just for a Moment,Austere,To Lay Like Old Ashes
Þjáning heillar þjóðar,Auðn,Auðn
Þjáning heillar þjóðar,Auðn,Auðn
Ljóstýra,Auðn,Vökudraumsins fangi
Avash,Avash,Avash
Ek Akash Tara,Ayub Bacchu,Ek Akash Tara
Alice&u,Ayunda Risu,ALiCE&u
Megitsune,BABYMETAL,Babymetal
Tales of the Destinies,BABYMETAL,Metal Resistance
Proticchobi,Bagdhara,Proticchobi
Icarus,Bastille,Bad Blood
Yekteníya 1,Batushka,Litourgiya
Je Shohore Ami Nei,Bay of Bengal,Nirob Durvikkho
Hidden Window,Be'lakor,Coherence
Locus,Be'lakor,Coherence
Much More Was Lost,Be'lakor,Coherence
Valence,Be'lakor,Coherence
Abeyance,Be'lakor,Of Breath and Bone
By Moon and Star,Be'lakor,Of Breath and Bone
Fraught,Be'lakor,Of Breath and Bone
Remnants,Be'lakor,Of Breath and Bone
The Dream and the Waking,Be'lakor,Of Breath and Bone
Countless Skies,Be'lakor,Stone’s Reach
From Scythe to Sceptre,Be'lakor,Stone’s Reach
Husks,Be'lakor,Stone’s Reach
Sun’s Delusion,Be'lakor,Stone’s Reach
A Natural Apostasy,Be'lakor,The Frail Tide
Withering Strands,Be'lakor,Vessels
DNA,Being,Anthropocene
Story for a Muse,Being,Anthropocene
Virtus Asinaria - Prayer,Belphegor,The Devils
Selkies: The Endless Obsession,Between the Buried and Me,Alaska
Algorythm,Beyond Creation,Algorythm
Omnipresent Perception,Beyond Creation,The Aura
Apolap,Black,Agontuk
Dark Legacy,Black Lava,The Savage Winds To Wisdom
Frustrated,Blade and Bath,Rotten in Loneliness
The Bard’s Song,Blind Guardian,Somewhere Far Beyond
All Alone,Blind Witness,Nightmare on Providence Street
(Don't Fear) The Reaper,Blue Öyster Cult,Agents of Fortune
Duvet,Boa,Twilight
Bow Down,Born of Osiris,The Eternal Reign
Open Arms to Damnation,Born of Osiris,The Eternal Reign
M∆chine,Born of Osiris,Tomorrow We Die ∆live
In The Androgynous Dark,Brambles,Charcoal
Crawl,Breaking Benjamin,Dear Agony
I Will Not Bow,Breaking Benjamin,Dear Agony
Feed the Wolf,Breaking Benjamin,Ember
Red Cold River,Breaking Benjamin,Ember
Breath,Breaking Benjamin,Phobia
The Diary of Jane,Breaking Benjamin,Phobia
So Cold,Breaking Benjamin,We Are Not Alone
1x1,Bring Me The Horizon,POST HUMAN: SURVIVAL HORROR
Shadow Moses,Bring Me the Horizon,Sempiternal
Soothsayer,Buckethead,Crime Slunk Scene
人間発電所,Buddha Brand,黒船
Kaval sviri,Bulgarian folklor,Severance
Tears Don’t Fall,Bullet for My Valentine,The Poison
Back To The Shadows,Burzum,
Aria Math,C418,Minecraft OST
Seven Suns,Calliophis,Cor Serpentis
Smile Again,Chaoseum,Second Life
The Red,Chevelle,Wonder What's Next
Hate Bein' Sober,Chief Keef,Finally Rich
Everytime I Die,Children of Bodom,Follow the Reaper
A Glimpse of Sorrow,Clouds,Doliu
Even If I Fall,Clouds,Doliu
Heaven Was Blind To My Grief,Clouds,Doliu
If These Walls Could Speak,Clouds,Doliu
The Deep Vast Emptiness,Clouds,Doliu
You Went So Silent,Clouds,Doliu
Welcome Home,Coheed and Cambria,"Good Apollo I’m Burning Star IV, Volume One: From Fear Through the Eyes of Madness"
The Unknown Kadath In The Cold Waste,Colosseum,Rising of Yog-Sothoth: Tribute to Thergothon
Rainbow in the Dark,Corey Taylor,Ronnie James Dio: This Is Your Life
Tempest,Countless Skies,Glow
Hallowed Be Thy Name,Cradle of Filth,Cruelty and the Beast
What If,Creed,Human Clay
My Sacrifice,Creed,Weathered
Biday ,Cryptic Fate,Agontuk
Snake Eater,Cynthia Harrell,
My Band,D12,Hip Hop Don't Stop
Inn Ann,Daboor,El Gad3ana
Murder,Dawn Of Solace,Affliction Vortex
Event Horizon,Dawn Of Solace,Flames of Perdition
Dead Air,Dawn of Solace,The Darkness
"I Am Chaos, I Am Destruction",Dawn of Solace,The Darkness
I Was Never There,Dawn of Solace,The Darkness
Winter Song,Dawn of Solace,The Darkness
Lead Wings,Dawn Of Solace,Waves
Beggars with Knives,Daysend,Severance
Born Is the Enemy,Daysend,Severance
Countdown,Daysend,Severance
End of Days,Daysend,Severance
Ignorance of Bliss,Daysend,Severance
Prism of You,Daysend,Severance
Sellout,Daysend,Severance
September,Daysend,Severance
Severance Day,Daysend,Severance
Sibling,Daysend,Severance
The Blood of Angels,Daysend,Severance
Magnolia,Deafheaven,Lonely People With Power
Dream House,Deafheaven,Sunbather
Crystal Mountain,Death,Symbolic
Voice of the Soul,Death,The Sound of Perseverance
Lords of the Trident,Death Dealer,Shadows from the Past
Light's Theme,Death Note OST I,
Rosemary,Deftones,Koi no Yokan
Broken Dreams,dEMOTIONAL,Tarassis
To the Gallows,dEMOTIONAL,Tarassis
Layla,Derek & The Dominos,Layla and Other Assorted Love Songs
Awaken,Dethklok,The Dethalbum
Brainwashing,DEXCORE,[METEMPSYCHOSIS.] 1
Holy Diver,Dio,Holy Diver
Rainbow in the Dark,Dio,Holy Diver
Bloom (Guitar Playthrough),Dios,
...and the Mirror Cracked,Disillusion,Back To Times Of Splendor
A Day by the Lake,Disillusion,Back To Times Of Splendor
Alone I Stand in Fires,Disillusion,Back To Times Of Splendor
Back to Times of Splendor,Disillusion,Back To Times Of Splendor
Fall,Disillusion,Back To Times Of Splendor
The Sleep of Restless Hours,Disillusion,Back To Times Of Splendor
Virtual Diva,Don Omar,iDon
Bandolero,Don Omar,Los Bandoleros
Leaden Winged Burden,Doom:vs,Dead Words Speak
Through the Fire and Flames,DragonForce,Inhuman Rampage
Ashes of the Dawn,DragonForce,Reaching Into Infinity
The Count of Tuscany,Dream Theater,Black Clouds & Silver Linings
Pull Me Under,Dream Theater,Images and Words
Wait for Sleep,Dream Theater,Images and Words
Scene Nine: Finally Free,Dream Theater,Metropolis Pt. 2: Scenes from a Memory
Scene Seven: I. The Dance of Eternity,Dream Theater,Metropolis Pt. 2: Scenes from a Memory
Octavarium,Dream Theater,Octavarium
As I Am,Dream Theater,Train of Thought
King,Eluveitie,Ategnatos
Quoth the Raven,Eluveitie,Everything Remains as It Never Was
Thousandfold,Eluveitie,Everything Remains as It Never Was
Epona,Eluveitie,Evocation II – Pantheon
A Rose for Epona,Eluveitie,Helvetios
Alesia,Eluveitie,Helvetios
Neverland,Eluveitie,Helvetios
Celtos,Eluveitie,Origins
From Darkness,Eluveitie,Origins
The Call Of The Mountains,Eluveitie,Origins
The Nameless,Eluveitie,Origins
The Silver Sister,Eluveitie,Origins
Vianna,Eluveitie,Origins
Gray Sublime Archon,Eluveitie,Slania
Inis Mona,Eluveitie,Slania
Follow the Plaguelord Pt II: The Harbinger Ov Pestilence,Empyrean Throne,Chaosborne
Srotoshinni,Encore,Chinnho
Lai Lai Hei,Ensiferum,Iron
Bhoy,Epitaph,Bhoy
Render the Void,ERRA,Impulse
Bleak Remembrance,Evadne,Dethroned Of Our Souls
Everybody’s Fool,Evanescence,Fallen
Tourniquet,Evanescence,Fallen
Imaginary,Evanescence,Origin
Part of Me,Evanescence,The Bitter Truth
The Rise Of Hannibal,EX DEO,The Immortal Wars
Ancient Stones,FamilyJules,"Video Game Guitar Covers, Vol. 5"
Battle Vs. Trainer,FamilyJules,"Video Game Guitar Covers, Vol. 5"
Field of Hopes and Dreams,FamilyJules,
Undertale Guitar Medley,FamilyJules,
Sanson Ki Mala Pe (Metal Arrangement),Fateh Ali Khan,
Slow Chemical,Finger Eleven,The Punisher: The Album
Embodied Deception,Fleshgod Apocalypse,Oracles
I Hope She Sees This (Acoustic),For When You Can't Breathe,
Stop Saying We Sound Like Dragonforce,Fraser Edwards,The Architect
Decade,fripSide,Decade
an Effect of Fate,fripSide,infinite Resonance
Dissociation,Futakuchi Mana,
Inkya Impulse,Futakuchi Mana,
I Riden Så,Gjallarhorn,Ranarop: Call of the Sea Witch
Void in Blue,Glare,Into You
Another World,Gojira,Fortitude
Global Warming,Gojira,From Mars to Sirius
L’Enfant sauvage,Gojira,L’Enfant sauvage
Silvera,Gojira,Magma
Stranded,Gojira,Magma
The Gift of Guilt,Gojira,Magma
Mandragore,Gojira,Possessed
Enisey,Grima,Will of the Primordial
Esho Brishti Namai,Habib Wahid,
Pareidolia,Haken,The Mountain
A Mother to Scare Away the Darkness,Halocraft,A Mother to Scare Away the Darkness
Don't Break The Loop,Halocraft,A Mother to Scare Away the Darkness
For The Son You Could Not Save,Halocraft,A Mother to Scare Away the Darkness
In The Woods,Halocraft,A Mother to Scare Away the Darkness
New Beginnings,Halocraft,A Mother to Scare Away the Darkness
Quantum,Halocraft,A Mother to Scare Away the Darkness
Small Victories,Halocraft,A Mother to Scare Away the Darkness
The Machine,Halocraft,A Mother to Scare Away the Darkness
Through The Caverns,Halocraft,A Mother to Scare Away the Darkness
She Speaks of Stars,Halocraft,Chains for the Sea
Hydrogen,Halocraft,The Sky Will Remember
The Silent Forest,Halocraft,To Leave a Single Wolf Alive
Burning From Both Ends,Harakiri for the Sky,Aokigahara
My Bones to the Sea,Harakiri for the Sky,Aokigahara
"Fire, Walk With Me",Harakiri for the Sky,Arson
Manifesto,Harakiri for the Sky,Arson
Stillborn,Harakiri for the Sky,Arson
The Graves We’ve Dug,Harakiri for the Sky,Arson
You Are the Scars,Harakiri for the Sky,Arson
Calling the Rain,Harakiri for the Sky,III: Trauma
Thanatos,Harakiri for the Sky,III: Trauma
The Traces We Leave,Harakiri for the Sky,III: Trauma
"I, Pallbearer",Harakiri for the Sky,Mære
Once Upon a Winter,Harakiri for the Sky,Mære
Sing for the Damage We’ve Done,Harakiri for the Sky,Mære
Song to Say Goodbye,Harakiri for the Sky,Mære
Hate File,Harbinger,Prayer of Deliverance
Ancient Vibrations,Hedge Wizard,More True Than Time Thought
As Old As The Hills,Hedge Wizard,More True Than Time Thought
Cemetery Violence,Hedge Wizard,More True Than Time Thought
Clairvoyance,Hedge Wizard,More True Than Time Thought
Conjurer's Clutter,Hedge Wizard,More True Than Time Thought
Huffing Petrichor,Hedge Wizard,More True Than Time Thought
More True Than Time Thought,Hedge Wizard,More True Than Time Thought
Odd Visions,Hedge Wizard,More True Than Time Thought
Anoana,Heilung,Drif
Join Me in Death,HIM,Razorblade Romance
The Reason,Hoobastank,The Reason
Blood Ornaments,Hooded Menace,The Tritonus Bell
Some Like It Cold,Hopes Die Last,Six Years Home
BCKYRD,Hot Mulligan,you'll be fine
Faisa Gechi,Hyder Husyn,
Ke Dekher Kotha Ke Dekchi,Hyder Husyn,
Here Comes the Rain Again,Hypnogaja,Below Sunset
Mrito,Icons,Ishshoronio
Ohongkar,Icons,Lokayoto
From Roots to Needles,If These Trees Could Talk,"Above the Earth, Below the Sky"
Angelic Voices Calling,Illnath,Angelic Voices Calling
By the Hands of Violent Winter,Illnath,Cast Into Fields of Evil Pleasure
Cast Into Fields of Evil Pleasure,Illnath,Cast Into Fields of Evil Pleasure
And There Was Light,Illnath,Second Skin of Harlequin
All Shall Fall,Immortal,All Shall Fall
More Than Conquerors,Impending Doom,The Serpent Servant
Image of Time,In Vain,Ænigma
Drive,Incubus,Make Yourself
Wish You Were Here,Incubus,Morning View
The Kingdom Sitteth Lonely Beneath Thine Hollowed Heavens,Infant Annihilator,The Battle of Yaldabaoth
Unholy Gravebirth,Infant Annihilator,The Elysian Grandeval Galèriarch
Heaven Sent,Infinite Descent,Infinite Descent
Begin,Injury,No Promises Made
Weighed Down With Sorrow,Insomnium,Across the Dark
Reflections,IRE,Reflections
Dance of Death,Iron Maiden,Dance of Death
Fear of the Dark,Iron Maiden,Fear of the Dark
Mother Russia,Iron Maiden,No Prayer for the Dying
The Trooper,Iron Maiden,Piece of Mind
Run to the Hills,Iron Maiden,The Number of the Beast
Moments Lost In Time,IRONSTONE,Moments Lost In Time
Battlefield,Jordin Sparks,Battlefield
The Hellion / Electric Eye,Judas Priest,Metalogy
Sayonee,Junoon,Jeet Lo Dil
Miséria da Sabedoria,Kaatayra,Toda História pela Frente
O Castigo Vem a Cavalo,Kaatayra,Toda História pela Frente
Toda Mágoa do Mundo,Kaatayra,Toda História pela Frente
Carry On Wayward Son,Kansas,Dust in the Wind
I Hate the Sound of Car Keys,Kaonashi,I Hate the Sound of Car Keys
Alles Wird in Flammen Stehen,Karg,Weltenasche
Crevasse,Karg,Weltenasche
Decima,Katatonia,The Fall of Hearts
Amusement Park Theme,Keiichi Okabe,Nier Automata Official Soundtrack
