title,artist,track,album
Shylmagoghnar - Emergence (Full Album) (OFFICIAL),Shylmagoghnar,,
Fullmoon Over Faerhaaven,Lamentation,Fullmoon Over Faerhaaven,Fullmoon Over Faerhaaven
NATIVE CONSTRUCT - QUIET WORLD [FULL ALBUM],squidvicious,,
Agalloch - Plateau of the Ages,.Tuønela Denisse.,,
BABYMETAL - Tales of the Destinies (Official Audio),BabyMetal S - A,,
Lucky Akhand - Amay Dekona | Lyric Video | A tribute to Lucky Akhand,Listen with Lyrics,,
WIND ROSE - Army Of Stone (Official Video) | Napalm Records,Napalm Records,,
Be'lakor - From Scythe to Sceptre,Pamplemousse,,
Voice of the Soul - DEATH (Synthwave),BLAIDD,,
Linkin Park - Fighting Myself (Official Audio),Linkin Park,,
Fleshgod Apocalypse - Embodied Deception,DeadKraken95,,
Enter Vril-Ya,Therion,Enter Vril-Ya,Deggial
Lustre - Moonlit Meadow,VallhalaMetalD,,
Aaj Raate Kono Rupkotha Nei | Old School | আজ রাতে কোনো রূপকথা নেই | Mobassher Choudhury,Md. Mobassher Choudhury,,
"𝐕𝐄𝐒𝐓𝐈𝐆𝐄 - ""Deviens La Nuit"" (Official Music Video)",Season of Mist,,
Avenged Sevenfold - Chapter Four,Hopeless Records,,
"Reeds and Seeds, a Plants Vs. Zombies Jazz Album | Official Album Stream",Ruscel Torres,,
"Death Note OST I - ""Light's Theme""",S Suzuki,,
Dios - Bloom (Guitar Playthrough),Ichika Nito,,
[Official] Celeste Original Soundtrack - 13 - Madeline and Theo,Lena Raine,,
Neel Hobo I Vikings | Official Music Video,Vikings,,
Pixies - Where Is My Mind? (Official Lyric Video),PixiesOfficial,,
"The Rolling Stones - Paint It, Black (Official Lyric Video)",ABKCOVEVO,,
Be'lakor - Abeyance piano cover (self-transcription),Emma Chiu,,
California Dreamin',The Mamas & The Papas,California Dreamin',If You Can Believe Your Eyes & Ears
WOLVES IN THE THRONE ROOM - Primordial Arcana [Full Album Stream],Wolves in the Throne Room,,
Priyotamo Ki Likhi Tomay,Nishita Barua,Priyotamo Ki Likhi Tomay,Retro Cool - Bengali Vol-9
Warfaze - Purnota,Warfaze,,
Ek Akash Tara | Shawkat Ft. Ayub Bachchu | আইয়ুব বাচ্চু | এক আকাশ তারা | Music Video,Sangeeta Music,,
Legendary Pakistani Singer goes Metal [Sanson Ki Mala Pe - Nusrat Fateh Ali Khan],Andre Antunes,,
Jontrona | Nodorai | Mohon Sharif | Bangla Movie Song 2019 (Official Soundtrack),Show Motion Entertainment,,
TOMBSTONE,Wage War,TOMBSTONE,STIGMA
River Master – The Angler's Dream Vinyl Rip,Huappy Spins,,
Enchanter - Dragon Age: Inquisition OST - Tavern song,Hikaru Kuma,,
Three Days Grace - Home (Official Video),Three Days Grace,,
Leave Her Johnny (Sea Shanty with lyrics) | Assassin's Creed 4: Black Flag (OST),Ubisoft Music,,
Bones In The Ocean,The Longest Johns,Bones In The Ocean,Bones In The Ocean
Montfaucon - Prisoner (Official track video),Montfaucon official,,
Nothnegal - Sins Of Our Creations,Season of Mist,,
Lai Lai Hei,Ensiferum,Lai Lai Hei,Iron
IRONSTONE - Moments Lost In Time (Official Video),IRONSTONE,,
Mother Russia (2015 Remaster),Iron Maiden,Mother Russia (2015 Remaster),No Prayer for the Dying
Nostalgia,Nocturnal Depression,Nostalgia,Deathcade
Frustrated,Blade and Bath,Frustrated,Rotten in Loneliness
Kansas - Carry On Wayward Son (Official Audio),KANSAS,,
Blue Oyster Cult - (Don't Fear) The Reaper (Official Audio),BLUE OYSTER CULT,,
Caverns,Thank You Scientist,Caverns,Stranger Heads Prevail
Fields of Gold,Stalled,Fields of Gold,Dust Inside a Dream
Her Ghost Haunts These Walls,Nocturnal Depression,Her Ghost Haunts These Walls,Deathcade
Finger Eleven - Slow Chemical (Official Visualizer) - from GREATEST HITS,Finger Eleven,,
PALLBEARER - I Saw The End (OFFICIAL VIDEO),Nuclear Blast Records,,
Puddle Of Mudd - Blurry (Official Music Video),Puddle Of Mudd TV,,
The Ocean - Jurassic | Cretaceous (feat. Jonas Renkse of Katatonia),Metal Blade Records,,
Anesthetize,"Porcupine Tree, Steven Wilson",Anesthetize,Fear of a Blank Planet
Murgrind - Inheritor of the Forest Throne (2015) (Old-School Dungeon Synth),The Dungeon Synth Archives,,
Black-Apolap | Album:Agontuk | Bangladeshi Band,Gaanpoka,,
Biday | বিদায় | Cryptic Fate | Agontuk | Original Track | Band Mixed Album,G Series World Music,,
The Dyatlov Pass incident,ANTLERS,The Dyatlov Pass incident,The Dyatlov Pass incident
The Last Song,12 Stones,The Last Song,Potter's Field
Kylie Minogue - Confide In Me (Official Video),Kylie Minogue,,
BCKYRD,Hot Mulligan,BCKYRD,you'll be fine
72. Neverending Night (DELTARUNE Chapter 3+4 Soundtrack) - Toby Fox - Toby Fox,Toby Fox,,
Annihilation of the Wicked,"Nile, Karl Sanders",Annihilation of the Wicked,Annihilation of the Wicked
Chevelle - The Red (Official HD Video),CheVelle,,
Archspire - Drain of Incarnation Orchestral Version,Alex Grammann,,
Clair Obscur: Expedition 33 | Lumière [Official Music Video],Sandfall Interactive,,
Seether - Fine Again,Seether,,
Daysend - Severance - 2003 (Full Album),BlackPelincho,,
Bulgarian folklor- Kaval sviri,antoniasorriso,,
Layla,Derek & The Dominos,Layla,Layla And Other Assorted Love Songs
Mike Oldfield - Nuclear,DanteMayCry,,
Silent Hill 4 - Waiting For You (Clean Version),Moonchild Studio,,
HIM - Join Me In Death,HIM,,
TOOL - Lateralus (Audio),TOOL,,
TOOL - Forty Six & 2 (Audio),TOOL,,
Breaking Benjamin - Feed the Wolf (Audio Only),Breaking Benjamin,,
Warfaze-Obak Bhalobasha,Warfaze,,
Kaatayra - Toda História pela Frente (Full Album),Atmospheric Black Metal Albums,,
AFTERMATH l MATIR ROUD (OFFICIAL MUSIC VIDEO),Aftermath Bangladesh,,
Hopes Die Last - Some Like It Cold - official video,Roberto Cinardi,,
Scene Seven: I. The Dance of Eternity,Dream Theater,Scene Seven: I. The Dance of Eternity,"Metropolis, Pt. 2: Scenes from a Memory"
"Architects - ""Blackhole""",Architects,,
WILDERUN - Far from Where Dreams Unfurl (Official Visualizer Track),Wilderunband,,
Decima,"Katatonia, Jonas Renkse",Decima,The Fall of Hearts
Alkaloid - Azagthoth (official premiere),Season of Mist,,
HAKEN - Pareidolia (OFFICIAL VIDEO),InsideOutMusicTV,,
The Man-Eating Tree - To the Sinking (Official Animated Lyric Video) | #NobleDemon,Noble Demon,,
The Battle of the Five Armies,"Wind Rose, Federico Meranda, Francesco Fagiolini, Claudio Falconcini",The Battle of the Five Armies,Warfront
Unexpect - Desert Urbania,Darth Yoda,,
Chillswitch Engage,Sean Townsend,,
Hate Bein' Sober,"Chief Keef, 50 Cent, Wiz Khalifa",Hate Bein' Sober,Finally Rich
Alan Wake 2 OST Official Soundtrack - Ahti - Yötön Yö,Qiuvox,,
Three Days Grace - Time of Dying (lyrics),Tobias Loos,,
Sting - Shape of My Heart (Official Music Video),Sting,,
Old Gods of Asgard - Herald of Darkness (Alan Wake 2 | Official Music Video),Old Gods of Asgard,,
Halocraft - The Silent Forest [2025 Single],WherePostRockDwells,,
Evanescence - Imaginary (Remastered 2023) - Official Visualizer,Evanescence,,
Three Days Grace - Never Too Late,Three Days Grace,,
Tormenta De Fuego - Flamenco,Amir Talebi,,
In The Androgynous Dark,Brambles,In The Androgynous Dark,Charcoal
Dear Esther Official Soundtrack,Fanunic,,
A Plague Tale: Innocence (Original Soundtrack) | Full Album,Full Album,,
Orgone - Pleroma (FULL CD ALBUM - 2024 - Technical/Experimental Death Metal - United States),STILGAR,,
STOIC BLISS - Ac1d ft  Kazi- Ac1d Ke? with Lyrics,BIG BOSS,,
Krishno-Habib Wahid Ft Kaya (Full HD 1080p) - moshiur,moshiur rahaman,,
Raat Nirghum রাত নির্ঘুম : Habib Wahid হাবিব ওয়াহিদ : Esho Brishti Namai এসো বৃষ্টি নামাই,Tahmid Chowdhury,,
LEVEL FIVE - 60's LOVE,LEVELFIVEtheband,,
Encore - Srotoshinni | Official Audio,ENCORE,,
Ke Dekher Kotha Ke Dekchi,Hyder Husyn,Ke Dekher Kotha Ke Dekchi,Faisa Gechi
Faisa Gechi,Hyder Husyn,Faisa Gechi,Faisa Gechi
Dil Ki Doya,"Paban Das Baul, Sam Mills",Dil Ki Doya,Real Sugar
Husks,Be'lakor,Husks,Stone's Reach
Capricorn / Agoratopia,"Rivers of Nihil, Brody Uttley, Adam Biggs",Capricorn / Agoratopia,Where Owls Know My Name
Death Is Real,"Rivers of Nihil, Brody Uttley, Adam Biggs",Death Is Real,Where Owls Know My Name
Hollow,"Rivers of Nihil, Brody Uttley, Adam Biggs",Hollow,Where Owls Know My Name
NieR: Automata | Amusement Park Theme,Paige,,
All in My Head,SMILE EMPTY SOUL,All in My Head,Shapeshifter
Smile Empty Soul - Silhouettes (Official Video),Atlantic Records,,
Evadne -  Dethroned Of Our Souls (Full Album),Funere Label,,
Jordin Sparks - Battlefield,Jordin Sparks,,
TOOL - Schism (Official Video),TOOL,,
Screaming At Forgotten Fears (2007),Xasthur,Screaming At Forgotten Fears (2007),Nightmares At Dawn
This Fire,Killswitch Engage,This Fire,As Daylight Dies
Battle On,"War Of Ages, Leroy Hamp, Steven Brown",Battle On,Fire From The Tomb
Injury - Begin,javier,,
Molchat Doma - Kletka (Official Lyrics Video) Молчат Дома - Клетка,Molchat Doma,,
Starset - CARNIVORE (Official Lyric Video),starsetonline,,
Tears Don't Fall,Bullet For My Valentine,Tears Don't Fall,The Poison
August Burns Red - Backburner,laurensDG,,
Bring Me The Horizon - Shadow Moses (Official Video),Bring Me The Horizon,,
Avenged Sevenfold - Unholy Confessions (Original First Cut Music Video),Hopeless Records,,
Diva virtual Don omar,carlos90hm,,
"if System of a Down wrote ""FIREFLIES"" by Owl City",mac glocky,,
Wongraven - Fjelltronen (FULL ALBUM),Domitor Invictus,,
Halocraft - Hydrogen [New Single],WherePostRockDwells,,
Artcell - Obhoy (Official Lyric Video),Artcell,,
Obzen,"Meshuggah, Tomas Nils Haake, Jens Roland Kidman, Fredrik Carl Thordendal, Mårten Hans Hagstrom",Obzen,Obzen
Selkies: The Endless Obsession,Between The Buried And Me,Selkies: The Endless Obsession,Alaska
「Story of Hope」- from Despair to Hope,ryuto ajima,,
Opshori | অপ্সরী | Artcell | Anushilon | Original Track |@G Series World Music,G Series World Music,,
Magnolia,Deafheaven,Magnolia,Magnolia
"Depressive Silence - Depressive Silence II (1996) (Dungeon Synth, Black Ambient)",The Dungeon Synth Archives,,
NANASHI-DAYO pvz-loonboon (full version) [Miku Hatsune],zenkueu,,
Rewind,Leprous,Rewind,The Congregation
Mastodon - Oblivion [Official Visualizer],Mastodon,,
Personal Forest,Psychonaut 4,Personal Forest,Dipsomania
Lifelover - Mental Central Dialog,Prophecy Productions,,
Silent Vice - Echo Stasis,Silent Vice ,,
Je Shohore Ami Nei - Bay of Bengal (Official video),Bay of Bengal,,
Slipknot - Before I Forget [OFFICIAL VIDEO] [HD],Slipknot,,
PIERCE THE VEIL – King For A Day (Cover by @laurenbabic & @youngrippa59),Lauren Babic,,
LORNA SHORE - Sun//Eater (OFFICIAL VIDEO),Century Media Records,,
Kodak Black - Tunnel Vision [Official Music Video],Kodak Black,,
Acid Ke,Stoic Bliss,Acid Ke,Kolponar Baire (Re-Mastered)
The Sunset of Life,Austere,The Sunset of Life,Beneath the Threshold
Dawn Of Solace - Murder (Official Music Video) | #NobleDemon #dawnofsolace,Noble Demon,,
Glare — “Void In Blue” (Official Audio),Sunday Drive Records,,
My Sleeping Heart,「Story of Hope」,My Sleeping Heart,Fairy Dance
My Band,D12,My Band,D-12 World
Daboor & Shabjdeed - Inn Ann (Prod. Al Nather) ضبــور وشب جديد - إن أن,BLTNM بلاتنم,,
Antonamasia - Still i bleed,Cassiel Lestat,,
Bishonno Adhar - Stentorian (Lyrics),LyricsVEVO,,
বাংলাদেশ স্মৃতি ও আমরা | আর্টসেল | Bangladesh Sriti O Amra | Artcell | Music Video,G Series World Music,,
Chile Kothar Shepai | চিলে কোঠার সেপাই | Artcell | Agontuk 2 | Original Track |@G Series World Music,G Series World Music,,
Rahur Grash || রাহুর গ্রাস || Artcell || Onno Shomoy || Original Track || @gseriesworldmusic3801,G Series World Music,,
Bhul Jonmo || ভুল জন্ম || Artcell || Onno Shomoy || Original Track || @gseriesworldmusic3801,G Series World Music,,
Onnosomoy | Artcell Band | Album Onnosomoy | Official Lyrical Video,G Series Music,,
Dhushor Shomoy || ধূসর সময় || Artcell || Oniket Prantor || Bangla Band Song || @G Series World Music,G Series World Music,,
Pothchola | পথচলা | Artcell | Onno Shomoy | Original Track | Bangla Band Song,G Series World Music,,
Oniket Prantor || অনিকেত প্রান্তর || Artcell || Bangla New Band Song || Official Lyrical Video,G Series Music,,
Don Omar - Bandolero ft. Tego Calderon,Don Omar,,
Waking The Cadaver - Blood Splattered Satisfaction,Sh1tFac3dStudi0,,
Pistoler Jibon | UPTOWN LOKOLZ | Kahini Scene Paat | Hiphop Song 2018,DeadLine Music,,
オバアチャン,"MONACA, MONACA, MONACA",オバアチャン,NieR Gestalt & NieR Replicant Original Soundtrack
"MYRATH ""BELIEVER"" Official Music Video",earMUSIC,,
Traverse the Abyss - Zombies (Single) 2024,Traverse the Abyss Official,,
Bagdhara - Proticchobi (প্রতিচ্ছবি) - Official Music Video,Bagdhara Band,,
Utsu-P【鬱P】- RENAISSANCE (Full Album),ButteryandBubbly,,
Voidhaven | Lithic (Full Album Stream) | Doom Death Metal,Ardua Music,,
Violent New Breed - Bury Me (Ft. Howard Jones),SBG Records,,
Phinehas - I Am The Lion,PhinehasVEVO,,
KISSIN' DYNAMITE - Six Feet Under (2012) // Official Music Video // AFM Records,AFM Records,,
fripSide - an Effect of Fate(Audio),fripSide OfficiAL YouTube Channnel,,
fripSide - Decade (Audio),fripSide OfficiAL YouTube Channnel,,
Cry Of The Last Mammoth,ANTLERS,Cry Of The Last Mammoth,Cry Of The Last Mammoth
Chena Jogot || চেনা জগৎ || Vibe || Chena Jogot  || Original Track || @gseriesworldmusic3801,G Series World Music,,
"""Unholy Confessions"" by Avenged Sevenfold",Grant,,
Death - Crystal Mountain,deathmetalchuck,,
Vibe - Shopnodev Lyrics,Room 505,,
system of a down-vicinity of obscenity,Jordan Cline,,
"Kaonashi ""I Hate the Sound of Car Keys"" (Official Music Video)",Equal Vision Records,,
Chitkar | চিৎকার | Shohorbondee | শহরবন্দী |,Shohorbondee,,
Iron Maiden - The Trooper (Remixed and Remastered),Marnetmar,,
Aquilus - Nigh To Her Gloam (Track Premiere),Atmospheric Black Metal Albums,,
Austere - Beneath the Threshold [Official Album Player],Prophecy Productions,,
Slipknot - Duality [OFFICIAL VIDEO] [HD],Slipknot,,
Wine From Tears ~Through The Eyes Of A Mad (Full Album),icedirony,,
VEIL OF MAYA - It's Not Safe To Swim Today,SUMERIAN,,
"Black Lava - ""Dark Legacy"" (Official Audio) 2024",Season of Mist,,
AUSTERE - Only the Wind Remembers,Eisenwald Official,,
Oshomapto Shantona | অসমাপ্ত সান্তনা | Artcell | Official Audio Track 5 | Album-Otritio | Band 2023,G Series Music,,
Deliver Me,Parkway Drive,Deliver Me,Deep Blue
Breath,Breaking Benjamin,Breath,Phobia
Evanescence - Tourniquet (Remastered 2023) - Official Visualizer,Evanescence,,
Dethklok - Awaken,Mr.D,,
Drain of Incarnation,"Archspire, Dean Lamb, Tobi Morelli, Oliver Rae Aleron, Spencer Prewett, Jared Smith",Drain of Incarnation,Bleed the Future
Killswitch Engage - The Arms of Sorrow [OFFICIAL VIDEO],Roadrunner Records,,
System Of A Down - Soldier Side (Official Audio),System Of A Down,,
Belphegor - Virtus Asinaria - Prayer,RedNight,,
Linkin Park - Blackbirds (Music Video),Fleyn Soldier,,
Everybody’s Fool (Remastered 2023),Evanescence,Everybody’s Fool (Remastered 2023),Fallen
Junoon - Sayonee (Official Music Video),junoonofficial,,
"Parkway Drive - ""Sleepwalker""",Epitaph Records,,
"Parkway Drive - ""Deadweight"" (Full Album Stream)",Epitaph Records,,
"Parkway Drive - ""Alone"" (Full Album Stream)",Epitaph Records,,
"Parkway Drive - ""Karma""",Epitaph Records,,
"Parkway Drive - ""Wreckage"" (Full Album Stream)",Epitaph Records,,
"Parkway Drive - ""Home Is For The Heartless"" (Full Album Stream)",Epitaph Records,,
Anmone 2 (আনমনে-২) - Aurthohin | Aushomapto 2,Aurthohin,,
Путь - Песни смерти (Full Album),Atmospheric Black Metal Albums,,
Back To Times Of Splendor - Disillusion (FULL ALBUM),Neurotripsicks,,
Easing The Pain,Sabhankra,Easing The Pain,Seers Memoir
Trivium - Blind Leading The Blind [OFFICIAL VIDEO],Trivium,,
Within Temptation - What Have You Done (Music Video) ft. Keith Caputo,Within Temptation,,
ALDA - Passage FULL ALBUM (Official Audio),Eisenwald Official,,
HARBINGER - Hate File (Official Music Video),HARBINGER,,
DEXCORE 「Brain Washing」 Official Music Video,DEXCORE OFFICIAL CHANNEL,,
Follow the Plaguelord Pt  II: The Harbinger Ov Pestilence by Empyrean Throne [HI-FI AUDIO][LYRICS],Empyrean Throne Band,,
ALDA - A Distant Fire FULL ALBUM (Official Audio),Eisenwald Official,,
For When You Can't Breathe - I Hope She Sees This (Acoustic),For When You Can't Breathe,,
Lustre - Petrichor,Middel Erde,,
"Кино - Закрой за мной дверь, я ухожу",Lev Gou,,
Chaoseum - Smile Again (Official Music Video),Spaceuntravel,,
VOY-Stentorian,Rezwanul Islam,,
FRASER EDWARDS - Stop Saying We Sound Like Dragonforce (Official Video),Fraser Edwards,,
DEAD INSIDE - belowground,IncelFan,,
Dan Dan Don Don,Nanashi Mumei Ch. hololive-EN,,
Kino - Kukushka,MrOlav321,,
BABYMETAL - メギツネ - MEGITSUNE (OFFICIAL),BABYMETAL,,
"Sonic Frontiers OST - ""Undefeatable""",Sonic the Hedgehog,,
Icarus,Bastille,Icarus,All This Bad Blood
SHAPE OF DESPAIR - Forfeit (Official Streaming Video),Season of Mist,,
Woods of Ypres - I Was Buried in Mount Pleasant Cemetery (Official Video),Earache Records,,
My Sleeping Karma - Atma (2022) [Full Album],Morphy,,
RELIQA - The Ritualist (Official Visualiser),Reliqa,,
DragonForce - Ashes of the Dawn (Reaching Into Infinity),DragonForce,,
The Kingdom Sitteth Lonely Beneath Thine Hollowed Heavens,"Infant Annihilator, Trevor Strnad",The Kingdom Sitteth Lonely Beneath Thine Hollowed Heavens,The Battle of Yaldabaoth
Beyond the Realms of God,Outlaw,Beyond the Realms of God,Beyond the Realms of God
Sabhankra - I Will Die With Your Love,Mete Sarigul,,
Itihash || ইতিহাস || Aurthohin || Agontuk 3 || Band Song || All Time Hit || @G Series World Music,G Series World Music,,
竹内まりや -  Plastic Love (Official Music Video),Mariya Takeuchi,,
AS BLOOD RUNS BLACK - In Dying Days (With Lyrics),AsBIoodRunsBIack,,
Chrono Trigger Soundtrack - Corridors of Time [HQ],phoenix3065,,
Madonna - La Isla Bonita (Official Video),Madonna,,
6 No Bipod Songket | Fokir Lal Miah | Full Album |  Audio Jukebox,G Series Music,,
Mrito - Icons,Shadman Saqib,,
Alda - Tahoma (Full Album),Wallaaigiao,,
Heritage of the Natural Realm,Sojourner,Heritage of the Natural Realm,Empires of Ash
ΛΔΛΜ - SUN  (Full Album 2020)   || ADAM - SUN,666MrDoom,,
Dawn Of Solace - I Was Never There,Olszynka Ligeia,,
All That Remains - This Calling,XXXHedgehog789XXX,,
Kmac2021 - Idol Hands [Official Lyric Video],Kmac2021,,
Oh Hiroshima - In Silence We Yearn (Full Album),WherePostRockDwells,,
Scene Nine: Finally Free,Dream Theater,Scene Nine: Finally Free,"Metropolis, Pt. 2: Scenes from a Memory"
Woods Of Ypres - Kiss My Ashes (Goodbye) (Official Audio),Earache Records,,
A.U.M.,"Archspire, Dean Lamb, Tobi Morelli, Oliver Rae Aleron, Spencer Prewett, Jared Smith",A.U.M.,Bleed the Future
Apology,Alesana,Apology,Try This With Your Eyes Closed
Wait for Sleep,Dream Theater,Wait for Sleep,Images and Words
Gojira - Another World [OFFICIAL VIDEO],Gojira,,
The Gift of Guilt,Gojira,The Gift of Guilt,L'Enfant Sauvage
Wish You Were Here,Incubus,Wish You Were Here,Wish You Were Here
Burning from Both Ends,Harakiri For The Sky,Burning from Both Ends,Aokigahara
RELIQA - I Don't Know What I Am (Official Visualiser),Reliqa,,
"C418 - Aria Math, but the best part is looped perfectly",Quackcoke,,
Megadeth - Countdown To Extinction,Kelvin Monteza,,
You Were But A Ghost In My Arms (2016 - Remaster),Agalloch,You Were But A Ghost In My Arms (2016 - Remaster),The Mantle
Red Cold River,Breaking Benjamin,Red Cold River,Ember
"Dawn Of Solace: ""Dead Air""",zenseitutti,,
Breaking Benjamin - So Cold,Breaking Benjamin,,
Creed - What If (Official HD Music Video),Creed,,
LOST IN THE ECHO,LINKIN PARK,LOST IN THE ECHO,LIVING THINGS
Harakiri For The Sky - Calling the rain,AOP Records,,
Harakiri For The Sky - Thanatos,AOP Records,,
As I Am,Dream Theater,As I Am,Train of Thought
Lorna Shore - Pain Remains: Trilogy [Unofficial Lyric Video],Music Heaven,,
Dream House,Deafheaven,Dream House,Sunbather
