title,artist,track,album
RELIQA - Safety feat. Sean Harmanis (Official Music Video),Reliqa,,
Weight of the World/壊レタ世界ノ歌,"Keiichi Okabe, YOKO TARO, Keiichi Okabe, Keiichi Okabe",Weight of the World/壊レタ世界ノ歌,NieR:Automata Original Soundtrack
Kelly Clarkson - Behind These Hazel Eyes (Official Video),Kelly Clarkson,,
Distant Dream - Your Own Story [Full Album],WherePostRockDwells,,
"Parkway Drive - ""Glitch""",Parkway Drive,,
"Parkway Drive - ""Darker Still""",Parkway Drive,,
【ORIGINAL SONG MV】解離 (Dissociation) 【Futakuchi Mana 二口魔菜】,Futakuchi Mana | 二口魔菜,,
Miss May I - Shadows Inside (Official Music Video),SharpTone Records,,
Be'lakor - A Natural Apostasy,belakorband,,
Necrophagist- Stabwound,Thebeastsnumber666,,
Be'lakor - By Moon and Star (HD),belakorband,,
Be'lakor - Remnants (HD),belakorband,,
Tapestry of the Starless Abstract,Ne Obliviscaris,Tapestry of the Starless Abstract,Portal of I
Ne Obliviscaris - Urn full album (2017),Season of Mist,,
Serial Experiments Lain Ending Full Tooi Sakebi,simh,,
Serial Experiments Lain - Duvet Extended,Chronobreak,,
もぐもぐYUMMY！/ 猫又おかゆ(official),Okayu Ch. 猫又おかゆ,,
Fear of the Dark (2015 Remaster),Iron Maiden,Fear of the Dark (2015 Remaster),Fear of the Dark
Unholy Gravebirth,Infant Annihilator,Unholy Gravebirth,The Elysian Grandeval Galèriarch
"Parkway Drive - ""The Greatest Fear""",Parkway Drive,,
Heilung | Anoana [Official Video],Heilung,,
We Lost The Sea - Departure Songs (Full Album),In The Woods,,
Metal: Hellsinger — Stygia ft. Alissa White-Gluz from Arch Enemy,Piece Of Lembas,,
Okayu and Korone Rap - If... by DA PUMP (With Lyrics)【EN Sub】,Fanfare Ch。,,
"The Offspring - You're Gonna Go Far, Kid (Official Music Video)",The Offspring,,
The Offspring - The Kids Aren't Alright (Official Music Video),The Offspring,,
The Brow Beat「銃声」【Official Music Video [Full Ver.] 】,The Brow Beat Official YouTube Channel,,
Dawn Of Solace - Event Horizon (Official Music Video) | Noble Demon,Noble Demon,,
The Count of Tuscany,Dream Theater,The Count of Tuscany,Black Clouds & Silver Linings
AUSTERE - Just for a Moment...,Eisenwald Official,,
Breaking Benjamin - I Will Not Bow,Breaking Benjamin,,
KINO - Spokoynaya Noch' (Calm Night) Спокойная ночь,illismi,,
felperc - five stages of grief [Album] (2021),WherePostRockDwells,,
Agalloch - In the Shadow of Our Pale Companion,windswept23,,
From Roots to Needles,If These Trees Could Talk,From Roots to Needles,"Above the Earth, Below the Sky"
Song to Say Goodbye,Harakiri For The Sky,Song to Say Goodbye,Song to Say Goodbye
Once Upon a Winter,Harakiri For The Sky,Once Upon a Winter,Mære
Sing for the Damage We've Done,Harakiri For The Sky,Sing for the Damage We've Done,Sing for the Damage We've Done
"Harakiri For The Sky - I, Pallbearer (Official Music Video)",AOP Records,,
[ORIGINAL] REFLECT - Gawr Gura,Gawr Gura Ch. hololive-EN,,
Native Deen Alhamdulillah,youngmuslim4life,,
Native Deen - The deen you know (with Lyrics) HD,786MC,,
NATIVE DEEN -- Intentions,Daze Studios,,
NATIVE DEEN -- Small Deeds,Daze Studios,,
Native Deen- Looking Glass,ummatALislam,,
paradise native deen,mohammedhagos,,
Native Deen - Test,Yousuf Naeem,,
Native Deen -  Drug free,Amir Qureashi,,
Sakina- Native Deen,ummatALislam,,
Icons - Ohongkar,Rezwanul Islam,,
Back To The Shadows,Soulside Journey,,
Northlane - Bloodline [Official Music Video],UNFD,,
SHADE - Dhoa'r Majhey,Kazi Ahmed,,
【Original Song】ALiCE&u【Ayunda Risu】,Ayunda Risu Ch. hololive-ID,,
BE'LAKOR - Hidden Window (Official Video) | Napalm Records,Napalm Records,,
Everything's Alright- Laura Shigihara- lyrics,xx7sweetnightmare4xx,,
BAD END THEATER - true end ver. (feat. Eleanor Forte Lite) - [ BAD END THEATER OST ],NomnomNami,,
Deftones - Rosemary,Primera Starrk,,
"Architects - ""Hereafter""",Epitaph Records,,
Much More Was Lost,"Be'lakor, John Richardson, Elliot Sansom, Shaun Sykes, George Kosmas, Steve Merry",Much More Was Lost,Coherence
Be'lakor - Sun's Delusion,belakorband,,
Be'lakor - The Dream and the Waking (HD),belakorband,,
Be'lakor - Fraught (HD),belakorband,,
穏ヤカナ眠リ,"Keiichi Okabe, Keiichi Okabe, Keiichi Okabe",穏ヤカナ眠リ,NieR:Automata Original Soundtrack
Onuvuti Stentorian,frozennmist,,
Poor Mans Poison - Give And Take (Official Video) A.K.A. Feed The Machine II the sequel,PoorMansPoison,,
"Mobb Deep - Shook Ones, Pt. II (Official HD Video)",Mobb Deep,,
Halocraft - She speaks of stars,Halocraft,,
Metal Gear Solid 3 Snake Eater Soundtrack: Snake Eater,alvaroduck,,
Nujabes - Feather,ChilledHipHop,,
BE'LAKOR - Valence (Official Video) | Napalm Records,Napalm Records,,
Locus,"Be'lakor, John Richardson, Elliot Sansom, Shaun Sykes, George Kosmas, Steve Merry",Locus,Coherence
"SION ""Inside The Hollow"" (Official Music Video)",Jared Dines,,
Trivium - Until The World Goes Cold [OFFICIAL VIDEO],Trivium,,
Archspire - Calamus Will Animate,Season of Mist,,
A-F-R-O - Big Belly (Official Video),A-F-R-O,,
Mario Judah - I Miss the Rage,732zachary,,
KILL,vivivivivi,,
Out of Touch,Daryl Hall & John Oates,Out of Touch,The Very Best of Daryl Hall / John Oates
Stentorian - Odrishsho Juddho,hussain408,,
credits song for my death,vivivivivi,,
RELIQA - The Bearer of Bad News (Official Visualiser),Reliqa,,
Hedge Wizard - More True Than Time Thought (2014) (Dungeon Synth),The Dungeon Synth Archives,,
Best of God Is An Astronaut,WherePostRockDwells,,
"Chernikovskaya Hata - chernikovskaya hata (Full Album, Russia, 2016)",privet poka,,
【COVER】Inkya Impulse | インキャインパルス (Asobi Asobase ED)【Futakuchi Mana 二口魔菜】,Futakuchi Mana | 二口魔菜,,
Mario Judah - You never Cared at all (Official Audio) 160k,𝖚𝖆𝖎𝖎 𝖇𝖗𝖊𝖓𝖔,,
"Mario Judah - ""Afraid of Love"" (Official Audio Video)",Mario Judah,,
ELUVEITIE - Epona (OFFICIAL MUSIC VIDEO),Nuclear Blast Records,,
War Of Ages - Collapse,WarOfAgesVEVO,,
Osi And The Jupiter — Fjörgyn,Years Of Silence,,
Ne Obliviscaris - Painters Of The Tempest (Full),Shintaro Fushida-Hardy,,
Halocraft - A Mother to Scare Away the Darkness [Album Premiere],WherePostRockDwells,,
Aquilus - In Lands of Ashes (Official Music Video),Andrea Effulge,,
"ARCHSPIRE - ""Drone Corpse Aviator"" (Official Music Video) 2021",Season of Mist,,
Bring Me The Horizon - 1x1 (Lyric Video) ft. Nova Twins,Bring Me The Horizon,,
Bed of Nails,"Neko Fuzz, Barbasauce",Bed of Nails,Bed of Nails
MGMT - Little Dark Age (Official Video),MGMT,,
Gjallarhorn - I Riden Så (Ye Ride So Carefully),thefetusboy,,
"IRE ""Reflections"" (LYRIC VIDEO)",IRE_official,,
Breaking Benjamin - Crawl [Official Video],miriebraha,,
Audio Active Music - Shadows,ThePrimeCronus,,
Ori and the Blind Forest – Main Theme [Menu Music],Empty Channel,,
Tempest,Countless Skies,Tempest,Glow
Death Dealer [OFFICIAL VIDEO] - Lords of the Trident,Lords of the Trident,,
Lamb of God - Vigil,Lamb of God,,
Clouds - Doliu (2014) Full Album,Doom Metal Subgenres,,
Avenged Sevenfold - Afterlife [Official Music Video],Avenged Sevenfold,,
MESHUGGAH - New Millennium Cyanide Christ (Official Music Video),Reigning Phoenix Music,,
"Pokémon Red/Blue - ""Battle Vs. Trainer"" METAL | FamilyJules",FamilyJules,,
"The Elder Scrolls V: Skyrim - ""Ancient Stones"" Metal Guitar Cover | FamilyJules",FamilyJules,,
Hypnogaja - Here Comes The Rain Again,NeoRock06,,
Wintersun - Wintersun/05 - Death And The Healing,winterghoul,,
EVADNE - A Mother Named Death (2017) Full Album Official (Melodic Death Doom Metal),Solitude Productions,,
Spiritbox - Rule Of Nines (Official Music Video),Pale Chord Music,,
Miki Matsubara - Stay With Me (cyberpunk/synthwave remix),Astrophysics,,
pagol chara duniya cole na,koster tv,,
AUÐN - Ljóstýra (Official Track Premiere),Season of Mist,,
Hooded Menace - Blood Ornaments (official track premiere) 2021,Season of Mist,,
Judas Priest - The Hellion / Electric Eye (HQ),Lux Gaming,,
Dawn Of Solace - Lead Wings (Official Music Video) | Noble Demon,Noble Demon,,
Killswitch Engage - My Curse (WITH LYRICS IN DESCRIPTION),deadman9101,,
LORNA SHORE - And I Return To Nothingness (OFFICIAL VIDEO),Century Media Records,,
Metalingus-Alter Bridge,fukubitch1510,,
Illnath:Cast into the fields of evil pleasure,Cássio Lampert,,
BUDDHA BRAND 人間発電所,西原誠,,
BLIND GUARDIAN - The Bard's Song (OFFICIAL MUSIC VIDEO),Blind Guardian,,
Creed - My Sacrifice,Creed,,
Evanescence - Part Of Me (Official Audio),Evanescence,,
Rammstein - Sonne (Official Video),Rammstein Official,,
Illnath - Angelic Voices Calling,mictain666,,
"Dream Theater - ""Pull Me Under""",TheBlackbird012,,
When Nothing Remains - A Lake Of Frozen Tears,Eternal Woods,,
Cancer / Moonspeak,"Rivers of Nihil, Brody Uttley, Adam Biggs",Cancer / Moonspeak,Where Owls Know My Name
Eluveitie - Alesia (Audio),alexnadim,,
Journey to the End,Windir,Journey to the End,1184
Low Roar-Don't be so serious (Death Stranding Music),DANYXX,,
Nargaroth - FULL - Seven tears Are Flowing To The River,Burningfromwithin,,
Buckethead - Soothsayer,lounaslaatikko,,
BE'LAKOR - Withering Strands (Official Lyric Video) | Napalm Records,Napalm Records,,
Karg - Alles wird in Flammen stehen,AOP Records,,
Þjáning Heillar Þjóðar,Auðn,Þjáning Heillar Þjóðar,Auðn
Shadow Of Intent - The Prelude To Bereavement (Official Stream),Shadow Of Intent,,
Nekrogoblikon - We Need A Gimmick [OFFICIAL VIDEO],Nekrogoblikon,,
Dance Of Death,Iron Maiden,Dance Of Death,From Fear to Eternity: The Best of 1990 - 2010
Forget Not,Ne Obliviscaris,Forget Not,Portal of I
Gojira - Global Warming [Live at the Silver Cord Studio May 2018],Gojira,,
And Plague Flowers the Kaleidoscope,Ne Obliviscaris,And Plague Flowers the Kaleidoscope,Portal of I
Illnath - By the Hands of Violent Winter,Ivana Bunjan,,
Gojira - Mandragore,Gojira Vidya,,
Killswitch Engage - The End Of Heartache,Roadrunner Records UK,,
Rivers of Nihil - Where Owls Know My Name (OFFICIAL VIDEO),Metal Blade Records,,
THE FACELESS - Legion of the Serpent,SUMERIAN,,
Never Forgotten Justice,Superdeathflame,Never Forgotten Justice,The Last Wave
MiNERVA Tribute Full - MiNERVA Bangladesh,Hasib,,
"Architects - ""Doomsday""",Epitaph Records,,
Lost in Darkness (Nintendocore),SpaetzleundSoss,,
Rawesome - Humanity,xRawesomex,,
Nevermore - The River Dragon Has Come (Lyrics),NevermoreFans,,
Insomnium - Weighed Down With Sorrow,Disturbed684,,
Illnath: And There Was Light,Nattefrosts,,
Infinite Descent  Heaven Sent,VXballads,,
Lacuna Coil - Intoxicated (with Lyrics),MellifluousBrazil,,
"DELTARUNE - ""Field of Hopes and Dreams"" METAL | FamilyJules",FamilyJules,,
Grima - Enisey (Official Track | Atmospheric Black Metal),NATURMACHT,,
ARS ONIRICA - The Loss (Official Video) Black / Doom Metal,Solitude Productions,,
Avash | Avash | Official Video,Avash,,
Apocalypse Orchestra - The Garden Of Earthly Delights (Official Music Video) Medieval Metal,Despotz Records,,
Dawn of Solace - Winter Song (With Lyrics),Shmulikipod123,,
Tonic - If You Could Only See (Closed-Captioned),TONIC,,
Dream Theater - Octavarium - HQ,gwmax11,,
Led Zeppelin - Stairway To Heaven (Official Audio),Led Zeppelin,,
Eluveitie - Neverland,Gyvates Asara,,
All That Remains - Six (lyrics),KALANARRAAJA,,
"Æther Realm - The Sun, The Moon, The Star",Æther Realm,,
Be'lakor - Abeyance (HD),belakorband,,
Shadow Of Intent - Underneath A Sullen Moon (OFFICIAL STREAM),Shadow Of Intent,,
Serj Tankian - Harakiri,serjtankian,,
Iron Maiden - Run To The Hills (Official Video),Iron Maiden,,
Lamb of God - Walk With me in Hell (Lyrics) [HQ],LamdLyrics,,
When Nothing Remains - I Forgive You,SakoARS,,
Wolfheart - The Flood,Wolfheart,,
Rivers of Nihil - The Silent Life (OFFICIAL VIDEO),Metal Blade Records,,
bad guy in the style of Breaking Benjamin (feat. Jared Dines),Anthony Vincent,,
dEMOTIONAL - To the Gallows,1MHzRS,,
Epitaph Bhoy,Nazif Hossain,,
Being - Story for a Muse,llaincss,,
Trivium - Strife [OFFICIAL VIDEO],Trivium,,
Blind Witness - All alone,T1m,,
"VREID, ""One Hundred Years"" (Official Lyric Video)",Season of Mist,,
When Nothing Remains - Mourning Of The Sun,Christian Messineo,,
Batushka  - Yektenia 1,MrNecrodaemon,,
When Nothing Remains ~Ghost Story,icedirony,,
When Nothing Remains - Reunited in the Grave,UnknownMelodeath,,
Coheed and Cambria - Welcome Home,Coheed and Cambria,,
Shape of Despair - Angels Of Distress,Unsilent YourLife MyDeath,,
KRYN - Reminder (Official Music Video),KRYN,,
Voidhaven - The Floating Grave,Zahin Shahriar Bin Khair,,
"Parkway Drive - ""Cemetery Bloom"" (Full Album Stream)",Epitaph Records,,
Blackout - Linkin Park (A Thousands Suns),Linkin Park,,
"Dawn of Solace - I Am Chaos, I Am Destruction (With Lyrics)",Shmulikipod123,,
Be'lakor - Countless Skies,Pamplemousse,,
Being - DNA,Myke Bates,,
Beyond Creation - Algorythm (official lyric video),Season of Mist,,
System of a Down - I-E-A-I-A-I-O Lyrics,slorr55,,
DRAGONFORCE - Through the Fire and Flames (Official Video),DragonForce,,
IMMORTAL - All Shall Fall (OFFICIAL MUSIC VIDEO),,,
Mick Gordon - 11. BFG Division,Mick Gordon,,
Gojira - Silvera [OFFICIAL VIDEO],Gojira,,
Gojira - Stranded [OFFICIAL VIDEO],Gojira,,
GOJIRA - L'Enfant Sauvage [OFFICIAL VIDEO],Gojira,,
Cradle Of Filth - Hallowed Be Thy Name (Audio),Cradle Of Filth,,
Children Of Bodom - Everytime I Die,SpinefarmUS,,
ARCH ENEMY - As The Pages Burn (OFFICIAL LYRIC VIDEO),Century Media Records,,
ARCH ENEMY - You Will Know My Name (OFFICIAL VIDEO),Century Media Records,,
ARCH ENEMY - The World Is Yours (OFFICIAL VIDEO),Century Media Records,,
ARCH ENEMY - The Eagle Flies Alone (OFFICIAL VIDEO),Century Media Records,,
ARCH ENEMY - We Will Rise (OFFICIAL VIDEO),Century Media Records,,
Marilyn Manson - Sweet Dreams (Are Made Of This) (Alt. Version),Marilyn Manson,,
IN VAIN - Image of Time,Krzysztof Kucharski,,
EX DEO - The Rise Of Hannibal (Official Audio) | Napalm Records,Napalm Records,,
BORN OF OSIRIS - Open Arms To Damnation,SUMERIAN,,
BORN OF OSIRIS - M∆CHINE,SUMERIAN,,
BORN OF OSIRIS - Bow Down,SUMERIAN,,
BEYOND CREATION - Omnipresent Perception (OFFICIAL) Video,ObnoxiousPictures,,
Archspire - Involuntary Doppelgänger (official lyric video),Season of Mist,,
Archspire - Human Murmuration (official premiere),Season of Mist,,
Rings of Saturn - Immaculate Order,xHx4xCxKx3xRx,,
"IMPENDING DOOM ""More Than Conquerors"" OFFICIAL VIDEO",FacedownRecords,,
Whitechapel - Elitist Ones (OFFICIAL VIDEO),Metal Blade Records,,
VEIL OF MAYA - Mikasa (Official Music Video),SUMERIAN,,
Undertale Guitar Medley | FamilyJules,FamilyJules,,
ERRA - Render The Void,Tragic Hero Records,,
dEMOTIONAL - Broken Dreams,1MHzRS,,
Avenged Sevenfold - Crimson Day Lyrics HD,ebmusicman16HD,,
Avenged Sevenfold - Coming Home Lyrics HD,ebmusicman16HD,,
Avenged Sevenfold - Hail To The King [Official Music Video],Avenged Sevenfold,,
August Burns Red- Back Burner (Lyrics and Meaning),THEKyleDeVries,,
AS I LAY DYING - My Own Grave (OFFICIAL MUSIC VIDEO),As I Lay Dying,,
"Architects - ""Modern Misery""",Epitaph Records,,
System Of A Down - Lonely Day (Official HD Video),System Of A Down,,
System Of A Down - Aerials (Official HD Video),System Of A Down,,
System Of A Down - Chop Suey! (Official HD Video),System Of A Down,,
System Of A Down - Toxicity (Official HD Video),System Of A Down,,
Absentia - Bhrom [Official Audio],Absentia official,,
Breaking Benjamin - The Diary of Jane,HollywoodRecordsVEVO,,
ANGEL VIVALDI // A Martian Winter [OFFICIAL MUSIC VIDEO],Angel Vivaldi,,
Genesis - Land Of Confusion (Official Music Video),Genesis,,
Phil Collins - In The Air Tonight (Official Music Video),Phil Collins,,
Phil Collins - Another Day In Paradise (Official Music Video),Phil Collins,,
LIGHT THE TORCH - Die Alone (OFFICIAL MUSIC VIDEO),Nuclear Blast Records,,
Incubus - Drive,Incubus,,
Hoobastank - The Reason (Official Music Video),Hoobastank,,
Dio - Rainbow In The Dark [HD],MusicStudio9,,
Dio - Holy Diver,Dio: The King of Rock 'n' Roll,,
Corey Taylor - Rainbow in the Dark (DIO cover HQ),Shary Pellegrino,,
Tenacious D -The Last In Line (Dio Tribute-This is your life-2014),Cult Ov Doom,,
Stratovarius - Black Diamond,ggonza43,,
Eluveitie - Gray sublime Archon,9Jumper5,,
ELUVEITIE - Inis Mona (OFFICIAL MUSIC VIDEO),,,
ELUVEITIE - 12 King [OFFICIAL MUSIC VIDEO],Scar Skybed,,
Eluveitie - 11 The Silver Sister,Scar Skybed,,
Eluveitie - 10 Vianna,Scar Skybed,,
ELUVEITIE - 07 The Call Of The Mountains [OFFICIAL MUSIC VIDEO],Scar Skybed,,
Eluveitie - 04 Celtos,Scar Skybed,,
Eluveitie - 03 From Darkness,Scar Skybed,,
Eluveitie - 02 The Nameless,Scar Skybed,,
ELUVEITIE - A Rose For Epona (OFFICIAL MUSIC VIDEO),,,
Eluveitie - Quoth The Raven,iloskaman,,
ELUVEITIE - Thousandfold (OFFICIAL MUSIC VIDEO),,,
SHALLOW RIVERS - Water Awakes (OFFICIAL VIDEO),Shallow Rivers official youtube channel,,
Slumber - Distress (lyrics),Adrian K,,
Novembers Doom - Twilight Innocence,Dacryfilico368,,
Karg - Crevasse,AOP Records,,
Doom:VS - Leaden Winged Burden,CowgirlFromHell616,,
Colosseum - The Unknown Kadath In The Cold Waste (Thergothon Tribute),Lore naaa,,
CALLIOPHIS - Seven Suns (Official Video) Death Doom Metal,Solitude Productions,,
Auðn - Þjáning heillar þjóðar,Lillian Evill,,
Anomalie - Vision IV: Illumination (Official Music Video),AOP Records,,
Harakiri For The Sky - Manifesto,AOP Records,,
Harakiri For The Sky - Stillborn,AOP Records,,
Harakiri For The Sky - You Are The Scars (Official Lyric Video),AOP Records,,
Harakiri For The Sky - The Graves We've Dug,AOP Records,,
"Harakiri For The Sky - Fire, walk with me",AOP Records,,
Harakiri For The Sky - My Bones To The Sea (Official Music Video),AOP Records,,
Harakiri For The Sky - The Traces We Leave (Official Music Video),AOP Records,,
"Parkway Drive - ""The Colour Of Leaving"" (Full Album Stream)",Epitaph Records,,
"Parkway Drive - ""Chronos"" (Full Album Stream)",Epitaph Records,,
"Parkway Drive - ""In Blood"" (Full Album Stream)",Epitaph Records,,
"Parkway Drive - ""Shadow Boxing""",Epitaph Records,,
"Parkway Drive - ""I Hope You Rot"" (Full Album Stream)",Epitaph Records,,
"Parkway Drive - ""The Void""",Epitaph Records,,
"Parkway Drive - ""Absolute Power"" (Full Album Stream)",Epitaph Records,,
"Parkway Drive - ""Prey""",Epitaph Records,,
"Parkway Drive - ""Wishing Wells""",Epitaph Records,,
"Parkway Drive - ""Devil's Calling""",Epitaph Records,,
"Parkway Drive - ""A Deathless Song"" (Full Album Stream)",Epitaph Records,,
"Parkway Drive - ""Dedicated"" (Full Album Stream)",Epitaph Records,,
"Parkway Drive - ""Vicious"" (Full Album Stream)",Epitaph Records,,
"Parkway Drive - ""The Sound of Violence"" (Full Album Stream)",Epitaph Records,,
"Parkway Drive - ""Bottom Feeder""",Epitaph Records,,
"Parkway Drive - ""Writings on the Wall"" (Full Album Stream)",Epitaph Records,,
"Parkway Drive - ""Fractures"" (Full Album Stream)",Epitaph Records,,
"Parkway Drive - ""Crushed""",Epitaph Records,,
"Parkway Drive - ""Vice Grip""",Epitaph Records,,
"Parkway Drive - ""Destroyer"" (Full Album Stream)",Epitaph Records,,
Parkway Drive - Horizons [Lyrics HQ],ParkwayDriveHQ,,
Parkway Drive - Idols and Anchors [Lyrics HQ],ParkwayDriveHQ,,
Parkway Drive - Five Months [Lyrics HQ],ParkwayDriveHQ,,
Parkway Drive - Carrion [Lyrics HQ],ParkwayDriveHQ,,
"Parkway Drive - ""Sleight Of Hand"" (Full Album Stream)",Epitaph Records,,
"Parkway Drive - ""Atlas"" (Full Album Stream)",Epitaph Records,,
"Parkway Drive - ""The Slow Surrender"" (Full Album Stream)",Epitaph Records,,
"Parkway Drive - ""The River"" (Full Album Stream)",Epitaph Records,,
"Parkway Drive - ""Dark Days""",Epitaph Records,,
"Parkway Drive - ""Wild Eyes""",Epitaph Records,,
"Parkway Drive - ""Dream Run"" (Full Album Stream)",Epitaph Records,,
"Parkway Drive - ""Sparks"" (Full Album Stream)",Epitaph Records,,
