,title,,,,
"oU6uUEwZ8FM","California Dreamin'","The Mamas & the Papas - Topic","2024-04-07","2018-07-31","https://i.ytimg.com/vi/oU6uUEwZ8FM/hqdefault.jpg"
"SgD2FbWthU8","Be'lakor - Abeyance piano cover (self-transcription)","Emma Chiu","2024-04-01","2022-02-23","https://i.ytimg.com/vi/SgD2FbWthU8/hqdefault.jpg"
"O4irXQhgMqg","The Rolling Stones - Paint It, Black (Official Lyric Video)","ABKCOVEVO","2024-04-01","2015-11-19","https://i.ytimg.com/vi/O4irXQhgMqg/hqdefault.jpg"
"TMVteA-FzFA","Widek - Outside The Universe (Full Album)","WidekMusic","2024-04-01","2014-05-31","https://i.ytimg.com/vi/TMVteA-FzFA/hqdefault.jpg"
"UZzYxGZ7Hmc","Igorrr - Cheval [OFFICIAL VIDEO]","Igorrr","2024-04-01","2017-06-05","https://i.ytimg.com/vi/UZzYxGZ7Hmc/hqdefault.jpg"
"OJ62RzJkYUo","Pixies - Where Is My Mind? (Official Lyric Video)","PixiesOfficial","2024-04-01","2022-10-26","https://i.ytimg.com/vi/OJ62RzJkYUo/hqdefault.jpg"
"09POo6e-KO4","Fleshgod Apocalypse - Embodied Deception","DeadKraken95","2024-01-09","2011-08-19","https://i.ytimg.com/vi/09POo6e-KO4/hqdefault.jpg"
"iKBCVZqqooY","Linkin Park - Fighting Myself (Official Audio)","Linkin Park","2024-01-07","2023-03-24","https://i.ytimg.com/vi/iKBCVZqqooY/hqdefault.jpg"
"znjLSW8kfBM","FALLUJAH - The Void Alone - Featuring Tori Letzler‎ (OFFICIAL TRACK & LYRIC VIDEO)","Nuclear Blast Records","2024-01-07","2016-02-18","https://i.ytimg.com/vi/znjLSW8kfBM/hqdefault.jpg"
"Ma27diEPqB0","Russian Circles - Harper Lewis","AstronautJ","2024-01-07","2009-06-25","https://i.ytimg.com/vi/Ma27diEPqB0/hqdefault.jpg"
"PQkqHx2usnI","Voice of the Soul - DEATH (Synthwave)","BLAIDD","2023-12-09","2020-09-26","https://i.ytimg.com/vi/PQkqHx2usnI/hqdefault.jpg"
"Y87bVC8tG2Q","Be'lakor - From Scythe to Sceptre","Pamplemousse","2023-10-09","2009-06-22","https://i.ytimg.com/vi/Y87bVC8tG2Q/hqdefault.jpg"
"SFxKm8zxCeE","WIND ROSE - Army Of Stone (Official Video) | Napalm Records","Napalm Records","2023-09-30","2023-01-04","https://i.ytimg.com/vi/SFxKm8zxCeE/hqdefault.jpg"
"gyXJmjyZgE8","CHAOSEUM - Unreal (Official Music Video)","Chaoseum","2023-09-25","2021-10-29","https://i.ytimg.com/vi/gyXJmjyZgE8/hqdefault.jpg"
"CTE1nReaSCg","Ribbon fix - One last cigarette","Carlos Cifuentes","2023-09-25","2013-06-22","https://i.ytimg.com/vi/CTE1nReaSCg/hqdefault.jpg"
"OrjgyLstGWM","I SEE STARS - Crystal Ball","Sumerian Records","2023-09-25","2013-10-22","https://i.ytimg.com/vi/OrjgyLstGWM/hqdefault.jpg"
"c8cX-wQHvXY","Those That Should Not Exist","AORTHA - Topic","2023-06-23","2023-06-19","https://i.ytimg.com/vi/c8cX-wQHvXY/hqdefault.jpg"
"wy4IsC5eb7o","Godspeed You! Black Emperor - F# A# ∞ (Full Album) [1080p]","Risenz","2023-06-23","2013-01-21","https://i.ytimg.com/vi/wy4IsC5eb7o/hqdefault.jpg"
"W5fZkdltpZo","TERROR REID - SAY NO MO'","TERROR REID","2023-06-21","2020-05-08","https://i.ytimg.com/vi/W5fZkdltpZo/hqdefault.jpg"
"D262oTSRQXw","Linkin Park - Massive (Official Audio)","Linkin Park","2023-06-21","2023-04-07","https://i.ytimg.com/vi/D262oTSRQXw/hqdefault.jpg"
"yF5-V5x3n5c","Arctic Rise (ft. Nik Nocturnal) - What About Michael Collins [Playthrough]","WherePostRockDwells","2023-06-21","2023-04-07","https://i.ytimg.com/vi/yF5-V5x3n5c/hqdefault.jpg"
"Vxgv9qbEkYk","RELIQA - Second Nature (Official Visualiser)","Reliqa","2023-03-21","2022-09-15","https://i.ytimg.com/vi/Vxgv9qbEkYk/hqdefault.jpg"
"aAVH-yyFVyE","I See Fire in the style of Disturbed","Ten Second Songs","2023-02-25","2022-12-02","https://i.ytimg.com/vi/aAVH-yyFVyE/hqdefault.jpg"
"BVF-RwIwi4E","C.O.C.","Circle Of Contempt - Topic","2022-10-25","2022-10-20","https://i.ytimg.com/vi/BVF-RwIwi4E/hqdefault.jpg"
"t8Hfi3yLU98","Craft and the Creator","Æther Realm - Topic","2022-09-08","2020-04-30","https://i.ytimg.com/vi/t8Hfi3yLU98/hqdefault.jpg"
"mTLunRuCGQQ","Black Hill & Silent Island - Tales of the night forest [Full Album]","Worldhaspostrock","2022-09-01","2018-05-15","https://i.ytimg.com/vi/mTLunRuCGQQ/hqdefault.jpg"
"b-BemxX-f50","Black Lava - ""Soul Furnace"" (Official Music Video) 2022","Season of Mist","2022-08-31","2022-08-17","https://i.ytimg.com/vi/b-BemxX-f50/hqdefault.jpg"
"sAVRqCZYJW8","BABYMETAL - Tales of the Destinies (Official Audio)","BabyMetal S - A","2022-08-31","2019-12-14","https://i.ytimg.com/vi/sAVRqCZYJW8/hqdefault.jpg"
"BOAixAjugUQ","Heilung - Tenet (Official Mood Video) 2022","Season of Mist","2022-08-31","2022-08-06","https://i.ytimg.com/vi/BOAixAjugUQ/hqdefault.jpg"
"sxY4W5Zt_98","Be'lakor - Outlive The Hand","belakorband","2022-08-31","2014-08-10","https://i.ytimg.com/vi/sxY4W5Zt_98/hqdefault.jpg"
"Una1R2vJK14","Agalloch - Plateau of the Ages",".Tuønela Denisse.","2022-08-10","2014-05-12","https://i.ytimg.com/vi/Una1R2vJK14/hqdefault.jpg"
"NotSb3rPQl0","Dimension 32 x l'Outlander - Nuit Blanche","Lofi Girl - Chill Beats","2022-08-10","2021-09-27","https://i.ytimg.com/vi/NotSb3rPQl0/hqdefault.jpg"
"mG5cI_ZCAQo","l'Outlander – Goshen","Lofi Girl - Chill Beats","2022-08-10","2021-06-19","https://i.ytimg.com/vi/mG5cI_ZCAQo/hqdefault.jpg"
"Q76sCaL63YY","Dawn Of Solace - Skyline (Official Music Video) | Noble Demon","Noble Demon","2022-08-06","2021-09-24","https://i.ytimg.com/vi/Q76sCaL63YY/hqdefault.jpg"
"0pAWKSg0QOM","Spiritbox - Sew Me Up (Official Visualizer)","riserecords","2022-07-22","2022-06-23","https://i.ytimg.com/vi/0pAWKSg0QOM/hqdefault.jpg"
"q4DvaaWeN5o","HEILUNG - Asja (2022) Official Audio","Season of Mist","2022-07-19","2022-07-14","https://i.ytimg.com/vi/q4DvaaWeN5o/hqdefault.jpg"
"-Gg1n3ZAuM8","TES V Skyrim Soundtrack - Out of the Cold","Aramil","2022-07-09","2012-06-26","https://i.ytimg.com/vi/-Gg1n3ZAuM8/hqdefault.jpg"
"o2zf28T0LFU","No Clear Mind - Dream Is Destiny","irene81t","2022-07-09","2010-03-26","https://i.ytimg.com/vi/o2zf28T0LFU/hqdefault.jpg"
"1bYZUP_6HSA","Dan Caine - Hold Me [Single] (2022)","WherePostRockDwells","2022-07-09","2022-06-24","https://i.ytimg.com/vi/1bYZUP_6HSA/hqdefault.jpg"
"G808sLEx4bQ","NATIVE CONSTRUCT - QUIET WORLD [FULL ALBUM]","squidvicious","2022-07-09","2015-04-21","https://i.ytimg.com/vi/G808sLEx4bQ/hqdefault.jpg"
"dOeFqRMX_10","LORNA SHORE - Into The Earth (OFFICIAL VIDEO)","Century Media Records","2022-06-25","2022-06-22","https://i.ytimg.com/vi/dOeFqRMX_10/hqdefault.jpg"
"__oZ-LYZ8pU","[Official] Celeste Original Soundtrack - 13 - Madeline and Theo","Lena Raine","2022-05-27","2018-01-25","https://i.ytimg.com/vi/__oZ-LYZ8pU/hqdefault.jpg"
"lMGo-9tKb90","Shylmagoghnar - Emergence (Full Album) (OFFICIAL)","Shylmagoghnar","2022-05-27","2014-02-27","https://i.ytimg.com/vi/lMGo-9tKb90/hqdefault.jpg"
"SOH4XoVbz2o","Acrid Canon","Archspire - Topic","2022-05-27","2021-10-28","https://i.ytimg.com/vi/SOH4XoVbz2o/hqdefault.jpg"
"res6q6pRdOk","Dios - Bloom (Guitar Playthrough)","Ichika Nito","2022-05-24","2022-05-22","https://i.ytimg.com/vi/res6q6pRdOk/hqdefault.jpg"
"XpBgArj3wPw","Ne Obliviscaris - Devour Me, Colossus: Blackholes & Contortions","Hiraeth88","2022-05-24","2016-08-23","https://i.ytimg.com/vi/XpBgArj3wPw/hqdefault.jpg"
"0qTu12FrQ2A","Fullmoon Over Faerhaaven","Lamentation - Topic","2022-05-19","2022-03-23","https://i.ytimg.com/vi/0qTu12FrQ2A/hqdefault.jpg"
"Eq1eyyb85b4","ETERNITY FOREVER // ""FANTASY"" (OFFICIAL STREAM)","Spirit Vision Records","2022-05-19","2017-01-25","https://i.ytimg.com/vi/Eq1eyyb85b4/hqdefault.jpg"
"cfmHXPMPQtc","Bhetor Bahir-Vetor Bahir  by Shade (ভেতর বাহির)","auncon","2022-05-19","2017-11-08","https://i.ytimg.com/vi/cfmHXPMPQtc/hqdefault.jpg"
"06H_6oI4EK4","Celtic Music - Wolf Blood","Adrian von Ziegler","2022-05-14","2013-02-10","https://i.ytimg.com/vi/06H_6oI4EK4/hqdefault.jpg"
"83reId9C_aI","Dzivia - Flower Maiden","Dzivia","2022-04-27","2021-08-01","https://i.ytimg.com/vi/83reId9C_aI/hqdefault.jpg"
"-Sn04ou8qDw","God Is An Astronaut - Age Of The Fifth Sun ( Full Album )","Lsd4Life","2022-04-06","2013-05-29","https://i.ytimg.com/vi/-Sn04ou8qDw/hqdefault.jpg"
"xZWZRu50Nfc","Hollow Knight - OST Dirtmouth 1 hour Extended","Cactusyack Estudios","2022-04-06","2018-10-05","https://i.ytimg.com/vi/xZWZRu50Nfc/hqdefault.jpg"
"dOh0Z2mxQgU","BE'LAKOR - Roots To Sever (Official Lyric Video) | Napalm Records","Napalm Records","2022-03-17","2020-05-07","https://i.ytimg.com/vi/dOh0Z2mxQgU/hqdefault.jpg"
"CuhQK6WPD7I","Be'lakor - Aspect","belakorband","2022-03-17","2011-09-18","https://i.ytimg.com/vi/CuhQK6WPD7I/hqdefault.jpg"
"yY625tkzs2E","Be'lakor - In Parting (HD)","belakorband","2022-03-17","2012-05-31","https://i.ytimg.com/vi/yY625tkzs2E/hqdefault.jpg"
"ax7qTj0aA9A","Falls of Rauros - The Light That Dwells In Rotten Wood","Diem.Exuro","2022-03-16","2011-08-03","https://i.ytimg.com/vi/ax7qTj0aA9A/hqdefault.jpg"
"DjU2P02YZpE","Oblique Occasions - Anathema","theuppermostinlife","2022-03-04","2022-01-22","https://i.ytimg.com/vi/DjU2P02YZpE/hqdefault.jpg"
"lklHS1G9E-M","Quest Master - Lost Songs of Distant Realms [Complete Collection] (2020) (Dungeon Synth)","The Dungeon Synth Archives","2022-03-04","2020-04-05","https://i.ytimg.com/vi/lklHS1G9E-M/hqdefault.jpg"
"XOfyBu62nW8","Varun Mehra - Severance [Album] (2020)","WherePostRockDwells","2022-03-04","2022-02-19","https://i.ytimg.com/vi/XOfyBu62nW8/hqdefault.jpg"
"JZAv_Cc6wx8","The Circle - Chapter IV: Erlösung (Official Music Video)","AOP Records","2022-02-21","2022-02-17","https://i.ytimg.com/vi/JZAv_Cc6wx8/hqdefault.jpg"
"awk-ITJ6QpQ","Chubura","Kelun - Topic","2022-02-21","2021-08-04","https://i.ytimg.com/vi/awk-ITJ6QpQ/hqdefault.jpg"
"o1sPU95-0AQ","Nargaroth / Nychts - A Whisper Underneath the Bark of Old Trees w lyrics","Shota Murderface","2022-02-16","2018-01-02","https://i.ytimg.com/vi/o1sPU95-0AQ/hqdefault.jpg"
"6YedXRq3Pbo","Xasthur - Screaming at Forgotten Fears","Amaelwen","2022-02-16","2008-09-14","https://i.ytimg.com/vi/6YedXRq3Pbo/hqdefault.jpg"
"VhNcqfhRbls","LIGHT THE TORCH - Death of Me (OFFICIAL MUSIC VIDEO)","Nuclear Blast Records","2022-02-16","2022-01-28","https://i.ytimg.com/vi/VhNcqfhRbls/hqdefault.jpg"
"DD2m_iqD7dI","Ghost - Call Me Little Sunshine (Official Music Video)","GhostBCVEVO","2022-02-16","2022-01-20","https://i.ytimg.com/vi/DD2m_iqD7dI/hqdefault.jpg"
"KvknOXGPzCQ","Deftones - Be Quiet And Drive (Far Away) (Official Video) [HD Remaster]","Deftones","2022-02-15","2009-10-27","https://i.ytimg.com/vi/KvknOXGPzCQ/hqdefault.jpg"
"VWn8ZVajjMM","SOWNBONES - helpless [Album] (2022)","WherePostRockDwells","2022-02-15","2022-01-11","https://i.ytimg.com/vi/VWn8ZVajjMM/hqdefault.jpg"
"CB02OI9W6Yk","Loathe - I Let It In And It Took Everything (OFFICIAL AUDIO STREAM)","SharpTone Records","2022-01-29","2020-02-07","https://i.ytimg.com/vi/CB02OI9W6Yk/hqdefault.jpg"
"6_j8ADSmt8E","There's A Light - For What May I Hope? For What Must We Hope? [Album] (2021)","WherePostRockDwells","2022-01-29","2021-12-10","https://i.ytimg.com/vi/6_j8ADSmt8E/hqdefault.jpg"
"9o0imRANjm0","FROZEN CROWN - Neverending (Official Video)","Scarlet Records","2022-01-27","2019-03-12","https://i.ytimg.com/vi/9o0imRANjm0/hqdefault.jpg"
"d64ejE0-AjY","Neel Hobo I Vikings | Official Music Video","Vikings","2022-01-27","2021-01-01","https://i.ytimg.com/vi/d64ejE0-AjY/hqdefault.jpg"
"aEsHtwcBPss","Metafox - ImmobiLIVE Part II [Live Session]","WherePostRockDwells","2022-01-26","2022-01-04","https://i.ytimg.com/vi/aEsHtwcBPss/hqdefault.jpg"
"7-_r1uS8XYg","Drown This City - New Burn Order [Official Music Video]","UNFD","2022-01-26","2021-04-07","https://i.ytimg.com/vi/7-_r1uS8XYg/hqdefault.jpg"
"f90nOY0kJ5U","AURA OF BIRTH ft Jonathan Carpenter - Terminal Ascent (Official Music Video) Progressive Metal","The Circle Pit","2022-01-26","2021-08-13","https://i.ytimg.com/vi/f90nOY0kJ5U/hqdefault.jpg"
"ibjM5RTF9d0","GROZA - Elegance of Irony (Official Music Video)","AOP Records","2022-01-26","2021-07-08","https://i.ytimg.com/vi/ibjM5RTF9d0/hqdefault.jpg"
"cV5U2aNaqIw","The White Elk","Osi and The Jupiter - Topic","2022-01-04","2019-11-28","https://i.ytimg.com/vi/cV5U2aNaqIw/hqdefault.jpg"
"bFvSuNUZgG8","The Last Sighs Of The Wind - We Are Trees [Full Album]","WherePostRockDwells","2021-12-30","2017-07-09","https://i.ytimg.com/vi/bFvSuNUZgG8/hqdefault.jpg"
"0vp_4vc-btI","Metal Gear Rising: Revengeance - The Hot Wind Is Blowing Extended","Crimson","2021-12-22","2013-05-22","https://i.ytimg.com/vi/0vp_4vc-btI/hqdefault.jpg"
"sZ32h5DKjdc","Dødelig Frost","Frostnatt - Topic","2021-12-11","2020-02-28","https://i.ytimg.com/vi/sZ32h5DKjdc/hqdefault.jpg"
"M3Ubewqc_X4","Nordicwinter - Le Dernier Adieu (Full Album)","Black Metal Promotion","2021-12-02","2021-10-30","https://i.ytimg.com/vi/M3Ubewqc_X4/hqdefault.jpg"
"yMFCzn8BIXE","Arctic Rise - Frequencies Made Visible [Album] (2020)","WherePostRockDwells","2021-11-26","2020-09-29","https://i.ytimg.com/vi/yMFCzn8BIXE/hqdefault.jpg"
"2NYuLb5gLmM","Rivers of Nihil - The Work (FULL ALBUM)","Metal Blade Records","2021-11-26","2021-09-24","https://i.ytimg.com/vi/2NYuLb5gLmM/hqdefault.jpg"
"DflIoBtc_WY","phantom assassin","Vildhjarta - Topic","2021-11-13","2021-10-14","https://i.ytimg.com/vi/DflIoBtc_WY/hqdefault.jpg"
"gB0KXDeL6pc","SOVEREIGN - LEGION [DEBUT SINGLE] (2019) SW EXCLUSIVE","SLAM WORLDWIDE","2021-11-13","2019-07-29","https://i.ytimg.com/vi/gB0KXDeL6pc/hqdefault.jpg"
"Ga0EnenMiSc","Cân Bardd - Devoured by the Oak (Full Album Premiere)","Black Metal Promotion","2021-11-13","2021-11-03","https://i.ytimg.com/vi/Ga0EnenMiSc/hqdefault.jpg"
"q9YyO46lnzY","VEIL OF CONSPIRACY - Echoes Of Winter (2021) Full Album Official (Dark Metal)","Solitude Productions","2021-09-14","2021-08-27","https://i.ytimg.com/vi/q9YyO46lnzY/hqdefault.jpg"
"mKowdt2eDI8","Warrior Path - The Mad King (2021)","NWOTHM Full Albums","2021-09-11","2021-03-06","https://i.ytimg.com/vi/mKowdt2eDI8/hqdefault.jpg"
"_uxmzStcbss","Best of Cloudkicker","WherePostRockDwells","2022-04-11","2022-03-25","https://i.ytimg.com/vi/_uxmzStcbss/hqdefault.jpg"